x;y;lat;lng;latdms;lngdms
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6308300;1559000;56.89764395186557;16.773425269565536;"N 56° 532 51.523 ";"E 16° 462 24.333 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306080;1555677;56.87812090429049;16.718416861257747;"N 56° 522 41.243 ";"E 16° 432 6.303 "
6306400;1555950;56.8809613772963;16.722964146538455;"N 56° 522 51.463 ";"E 16° 432 22.673 "
6332300;1571550;57.111351550716556;16.986128266078534;"N 57° 62 40.873 ";"E 16° 592 10.063 "
6296674;1556961;56.79350993386567;16.737374754549794;"N 56° 472 36.643 ";"E 16° 442 14.553 "
6260689;1546647;56.47152466379535;16.562121646065048;"N 56° 282 17.493 ";"E 16° 332 43.643 "
6303613;1552391;56.856351436044;16.66402136918584;"N 56° 512 22.873 ";"E 16° 392 50.483 "
6263500;1547800;56.496651526886026;16.581342342103685;"N 56° 292 47.953 ";"E 16° 342 52.833 "
6276000;1546300;56.60904757390981;16.55921539939627;"N 56° 362 32.573 ";"E 16° 332 33.183 "
6332312;1571584;57.11145400381417;16.9866927133262;"N 57° 62 41.233 ";"E 16° 592 12.093 "
6305170;1551290;56.870454481712486;16.6462893701905;"N 56° 522 13.643 ";"E 16° 382 46.643 "
6480150;1453100;58.441885104082914;15.002130544934285;"N 58° 262 30.793 ";"E 15° 02 7.673 "
6476907;1451684;58.4126187966112;14.978571119016006;"N 58° 242 45.433 ";"E 14° 582 42.863 "
6476907;1451684;58.4126187966112;14.978571119016006;"N 58° 242 45.433 ";"E 14° 582 42.863 "
6476907;1451684;58.4126187966112;14.978571119016006;"N 58° 242 45.433 ";"E 14° 582 42.863 "
6476907;1451684;58.4126187966112;14.978571119016006;"N 58° 242 45.433 ";"E 14° 582 42.863 "
6476907;1451684;58.4126187966112;14.978571119016006;"N 58° 242 45.433 ";"E 14° 582 42.863 "
6484900;1455914;58.48481880408561;15.04939306235891;"N 58° 292 5.353 ";"E 15° 22 57.823 "
6484926;1455889;58.485049676281164;15.048959494860068;"N 58° 292 6.183 ";"E 15° 22 56.253 "
6488392;1458285;58.516399768367386;15.089397965127821;"N 58° 302 59.043 ";"E 15° 52 21.833 "
6476250;1504025;58.4093750779739;15.874039286788424;"N 58° 242 33.753 ";"E 15° 522 26.543 "
6475631;1496854;58.403823943788765;15.75137612873403;"N 58° 242 13.773 ";"E 15° 452 4.953 "
6475645;1496863;58.40394969935083;15.751529869387038;"N 58° 242 14.223 ";"E 15° 452 5.513 "
6494284;1534535;58.569932081699356;16.39866457745594;"N 58° 342 11.763 ";"E 16° 232 55.193 "
6494286;1534524;58.56995090700359;16.398475857003582;"N 58° 342 11.823 ";"E 16° 232 54.513 "
6496069;1533510;58.58603625301851;16.381313678957074;"N 58° 352 9.733 ";"E 16° 222 52.733 "
6489710;1538990;58.52849554574634;16.474436223211523;"N 58° 312 42.583 ";"E 16° 282 27.973 "
6489710;1538990;58.52849554574634;16.474436223211523;"N 58° 312 42.583 ";"E 16° 282 27.973 "
